year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2043,481527.09725209145,372919.82800154353,997482.8220871656,172747.64742751038,204851.69096497953,163302.42204163256,438781.9250990723,83454.19095324277,602238.5058398364,452542.1015002533,1204342.3919812508,192070.0940445932,13411.607944793843,10979.842490112462,30289.590664315452,6232.986506095152,437956.3306400236,336622.3946464185,894095.32342913,152271.92565693136,2214045.586233591,1533046.7847871918,4188308.4406348444,537344.7976848029,1454151.756333869,1010880.7718832028,2740155.1206919737,357380.48097181704,148483.27296444215,120216.11219262994,327030.3702392418,65059.70666026878,94648.51197477727,77123.75769939511,211816.65146437846,42785.55054591875,233720.19780009828,185567.95563973146,497571.1377142755,93439.52750355899
2044,490605.03155034053,380695.8090619632,1018487.5328466975,177460.7969221555,208947.7498695125,166891.98534957643,448259.28471822594,85789.54334165443,612752.0862405879,461425.32548363326,1228862.1276228963,197234.2417890313,13781.959977400844,11306.675593482432,31325.67846576313,6454.288189311378,445976.149651177,343486.4213845235,911668.6124323191,156399.5519372513,2248710.6299946886,1560676.0031394095,4269359.899300718,551580.8515856091,1477006.7851996855,1029141.3664142193,2792489.8181114392,366839.21886784036,151766.487027212,123115.54154247651,335182.7588897913,67013.98015808892,96945.75092052436,79160.45972092019,217905.13141211338,44171.93119670247,238323.2506918374,189593.49184776642,508083.72568305733,96032.87822673471
2045,499682.96584858967,388471.79012238287,1039492.2436062294,182173.94641680067,213043.8087740455,170481.54865752032,457736.6443373796,88124.89573006608,623265.6666413392,470308.54946701316,1253381.8632645418,202398.38953346942,14152.312010007845,11633.508696852403,32361.7662672108,6675.589872527604,453995.9686623304,350350.4481226285,929241.9014355082,160527.17821757123,2283375.673755786,1588305.2214916272,4350411.357966592,565816.9054864154,1499861.8140655023,1047401.9609452357,2844824.5155309048,376297.9567638636,155049.7010899818,126014.97089232308,343335.14754034084,68968.25365590905,99242.98986627144,81197.16174244527,223993.6113598483,45558.311847486184,242926.30358357652,193619.02805580135,518596.31365183915,98626.22894991042
2046,509191.4666776337,396671.3268147995,1060081.2057060925,187192.27174255849,217389.7539950997,174299.88502589797,467468.8776177132,90619.70502781142,634393.4196672342,479730.70472733636,1279066.8635573413,207892.1468584603,14542.56456867471,11978.53538521515,33387.5453735391,6909.980253367948,462537.97889886,357669.4544010436,948617.279436583,164934.0470472886,2319595.2632142403,1617298.516482585,4433292.966664587,580829.9139210267,1523747.32697164,1066577.2570430744,2898382.35238757,386286.77812890394,158589.11980403238,129137.14480795809,351770.86498908186,71067.54478095743,101685.33329758584,83363.0027349273,229987.39944898008,47034.24708809563,247831.64197060204,197913.42354529136,529594.3954418434,101398.4961280229
2047,518699.9675066778,404870.86350721616,1080670.1678059557,192210.5970683163,221735.69921615388,178118.2213942756,477201.11089804675,93114.51432555675,645521.172693129,489152.8599876596,1304751.8638501405,213385.90418345117,14932.817127341576,12323.562073577896,34413.3244798674,7144.370634208292,471079.98913538957,364988.4606794587,967992.6574376578,169340.915877006,2355814.852672695,1646291.811473543,4516174.575362582,595842.9223556381,1547632.839877778,1085752.5531409131,2951940.1892442354,396275.59949394426,162128.53851808296,132259.3187235931,360206.58243782294,73166.8359060058,104127.67672890023,85528.84372740933,235981.18753811187,48510.18232870508,252736.98035762756,202207.8190347814,540592.4772318477,104170.76330613538
2048,528208.4683357219,413070.4001996328,1101259.129905819,197228.92239407412,226081.64443720804,181936.55776265328,486933.3441783803,95609.32362330207,656648.925719024,498575.0152479828,1330436.86414294,218879.66150844202,15323.069686008439,12668.58876194064,35439.10358619569,7378.761015048636,479621.9993719192,372307.4669578738,987368.0354387327,173747.78470672335,2392034.4421311496,1675285.1064645008,4599056.184060577,610855.9307902495,1571518.3527839158,1104927.8492387517,3005498.0261009005,406264.4208589845,165667.95723213354,135381.49263922812,368642.29988656397,75266.12703105419,106570.02016021463,87694.68471989136,241974.97562724364,49986.11756931453,257642.31874465308,206502.2145242714,551590.559021852,106943.03048424788
2049,537716.9691647659,421269.93689204945,1121848.092005682,202247.24771983194,230427.58965826224,185754.89413103092,496665.5774587139,98104.1329210474,667776.6787449189,507997.17050830607,1356121.8644357391,224373.4188334329,15713.322244675304,13013.615450303387,36464.882692523985,7613.151395888981,488164.0096084488,379626.4732362889,1006743.4134398075,178154.65353644075,2428254.0315896044,1704278.4014554587,4681937.792758572,625868.9392248609,1595403.8656900537,1124103.1453365902,3059055.862957566,416253.24222402484,169207.37594618413,138503.66655486313,377078.01733530505,77365.41815610256,109012.36359152902,89860.52571237339,247968.76371637543,51462.052809923975,262547.6571316786,210796.61001376144,562588.6408118563,109715.29766236036
2050,547225.4699938099,429469.4735844661,1142437.0541055452,207265.57304558976,234773.53487931643,189573.23049940856,506397.8107390475,100598.94221879274,678904.4317708139,517419.32576862926,1381806.8647285386,229867.17615842377,16103.57480334217,13358.642138666133,37490.661798852285,7847.541776729325,496706.01984497835,386945.47951470397,1026118.7914408824,182561.5223661581,2464473.621048059,1733271.6964464167,4764819.401456567,640881.9476594722,1619289.3785961915,1143278.441434429,3112613.699814231,426242.06358906516,172746.7946602347,141625.84047049814,385513.7347840461,79464.70928115094,111454.70702284342,92026.36670485542,253962.55180550722,52937.98805053342,267452.9955187041,215091.00550325145,573586.7226018605,112487.56484047284
2051,555088.5837046165,436393.6067224367,1157114.6511816564,211793.12096128755,237353.7792659992,191903.97909619377,509565.0828875499,102230.03142433504,688957.2091694963,526096.7254625855,1402412.7629407062,235329.27334806192,16062.324175034877,13333.177877192618,36910.2795493895,7851.307336197496,504027.1570929957,393342.5734926413,1040074.8980750422,186685.8962461939,2500309.4274162664,1762335.4859591934,4849280.581433523,657180.0083228784,1642760.1986016368,1162373.1307394956,3166729.0758785796,437020.6403156111,173612.27427140638,142457.8784677391,383819.33868815383,80155.94298423854,111497.57794144675,92133.87424515047,251187.62141221153,53140.882770938224,270655.93015387654,217964.26437149517,578047.9339993958,114461.46426389378
2052,562951.6974154231,443317.73986040737,1171792.2482577676,216320.66887698535,239934.02365268196,194234.72769297898,512732.3550360523,103861.12062987736,699009.9865681789,534774.1251565417,1423018.6611528741,240791.37053770007,16021.073546727584,13307.713615719103,36329.89729992673,7855.072895665667,511348.29434101307,399739.66747057874,1054031.004709202,190810.2701262297,2536145.2337844744,1791399.2754719704,4933741.7614104785,673478.0689862845,1666231.018607082,1181467.8200445622,3220844.4519429286,447799.217042157,174477.75388257805,143289.91646498005,382124.94259226153,80847.17668732615,111540.4488600501,92241.38178544553,248412.69101891588,53343.77749134302,273858.864789049,220837.52323973892,582509.1453969311,116435.36368731473
