year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2040,54546.15578765826,43487.42687959684,161043.32131509922,21806.327291705504,23584.059610724482,19331.7664462569,72453.09456542518,10676.494853091885,67684.99066128797,52417.93158083516,193165.93596233023,24105.742155378142,1544.1931407421748,1298.1952432114736,4848.001783464678,793.1472894244507,49518.19117370283,39191.033876755144,144975.6605567772,19191.25468272121,251217.79336794987,178350.79817362694,687943.2559533983,67279.63615669933,164889.2799853467,117611.58223007692,445110.16130961035,44795.89758025407,17240.806060969684,14349.08019296649,53806.66652429138,8381.416206382133,10981.706927028827,9194.906103036312,34498.59668935215,5500.522963469359,26845.20368185664,21917.623791845057,82052.440317388915,11928.192306702013
2041,55511.34436691551,44348.78789860069,164478.45785782678,22388.28979280242,24022.253991991354,19730.042225271245,73952.14243164707,10963.697880744756,68812.66884400812,53412.98009348115,196968.17905481387,24753.30002545578,1591.1370440645912,1340.426029415097,5036.850156388083,823.4150784975145,50372.155551856085,39953.606921612976,147978.85279746103,19703.30858738301,255190.3421433011,181607.86962350004,701175.3427912759,69127.78669642532,167495.92193373185,119756.81487283084,453623.19177635835,46022.623369473265,17609.99838489406,14685.497355015721,55134.06068398171,8629.835466342436,11256.89189228627,9444.867113160166,35548.63410576978,5683.659660852233,27335.72382178928,22362.978820566517,83727.67253575349,12246.62942824778
2042,56476.53294617275,45210.14891760455,167913.59440055434,22970.25229389934,24460.448373258227,20128.31800428559,75451.19029786895,11250.900908397625,69940.34702672827,54408.02860612715,200770.4221472975,25400.85789553342,1638.0809473870077,1382.6568156187204,5225.698529311488,853.6828675705783,51226.11993000935,40716.17996647081,150982.04503814486,20215.362492044813,259162.89091865232,184864.94107337316,714407.4296291535,70975.93723615131,170102.563882117,121902.04751558477,462136.2222431063,47249.34915869246,17979.190708818438,15021.914517064952,56461.45484367204,8878.254726302737,11532.076857543714,9694.828123284022,36598.67152218741,5866.796358235108,27826.24396172192,22808.333849287978,85402.90475411808,12565.066549793546
2043,57441.72152543,46071.5099366084,171348.73094328193,23552.214794996256,24898.6427545251,20526.593783299933,76950.23816409083,11538.103936050496,71068.0252094484,55403.07711877314,204572.66523978114,26048.415765611055,1685.024850709424,1424.8876018223436,5414.546902234893,883.950656643642,52080.08430816261,41478.75301132865,153985.2372788287,20727.416396706612,263135.43969400355,188122.01252324626,727639.5164670311,72824.0877758773,172709.2058305022,124047.28015833868,470649.2527098543,48476.07494791166,18348.38303274281,15358.331679114184,57788.84900336238,9126.67398626304,11807.26182280116,9944.789133407876,37648.70893860504,6049.933055617983,28316.764101654564,23253.688878009438,87078.13697248265,12883.503671339311
2044,58406.910104687246,46932.87095561226,174783.8674860095,24134.177296093174,25336.83713579197,20924.869562314278,78449.28603031271,11825.306963703366,72195.70339216855,56398.125631419134,208374.90833226478,26695.973635688693,1731.9687540318405,1467.118388025967,5603.395275158298,914.2184457167058,52934.04868631587,42241.32605618648,156988.42951951252,21239.470301368416,267107.9884693548,191379.08397311938,740871.6033049086,74672.23831560329,175315.84777888737,126192.5128010926,479162.2831766022,49702.80073713085,18717.57535666719,15694.748841163415,59116.24316305271,9375.093246223341,12082.446788058603,10194.750143531732,38698.746355022675,6233.069753000857,28807.284241587204,23699.043906730898,88753.36919084724,13201.940792885078
2045,59372.098683944496,47794.231974616116,178219.00402873705,24716.13979719009,25775.031517058844,21323.14534132862,79948.33389653459,12112.509991356237,73323.3815748887,57393.174144065124,212177.15142474842,27343.531505766332,1778.912657354257,1509.3491742295905,5792.243648081703,944.4862347897696,53788.01306446913,43003.89910104431,159991.62176019634,21751.524206030215,271080.537244706,194636.15542299248,754103.6901427862,76520.38885532928,177922.48972727254,128337.74544384652,487675.3136433502,50929.52652635004,19086.767680591565,16031.166003212646,60443.637322743045,9623.512506183644,12357.631753316047,10444.711153655586,39748.78377144031,6416.206450383732,29297.804381519843,24144.39893545236,90428.60140921181,13520.377914430845
2046,60378.00355322594,48695.984263187005,181448.7692795145,25327.65671035654,26235.31604653648,21741.723266634504,81428.16281619003,12414.024661429967,74511.44570328823,58441.35026478068,216067.92398926162,28023.88532789093,1827.61591187146,1553.1450720229439,5975.817674500645,975.850388555959,54692.58168944676,43810.310439001434,163123.66557402653,22290.353125939815,275220.29889368,198037.26092808528,767594.1933128628,78449.43003768813,180640.1333416539,130579.45645062023,496469.1559531612,52211.15145681686,19479.259832517957,16387.701826002634,61838.2108031454,9884.90350350584,12645.483058853692,10705.876374947371,40790.46940958767,6607.081190241818,29815.05336872305,24613.622365939584,92091.94767928043,13854.886926489004
2047,61383.90842250738,49597.7365517579,184678.53453029197,25939.173623522987,26695.600576014116,22160.301191940387,82907.99173584545,12715.539331503696,75699.50983168777,59489.52638549623,219958.69655377485,28704.239150015525,1876.3191663886628,1596.9409698162972,6159.391700919586,1007.2145423221483,55597.15031442438,44616.721776958555,166255.7093878567,22829.182045849415,279360.06054265396,201438.36643317805,781084.6964829393,80378.47122004698,183357.7769560353,132821.16745739395,505262.9982629722,53492.77638728367,19871.75198444435,16744.237648792623,63232.78428354775,10146.294500828035,12933.334364391338,10967.041596239156,41832.15504773503,6797.955930099904,30332.30235592625,25082.84579642681,93755.29394934906,14189.395938547164
2048,62389.81329178883,50499.48884032879,187908.29978106942,26550.69053668944,27155.885105491754,22578.879117246273,84387.8206555009,13017.054001577428,76887.57396008729,60537.70250621179,223849.46911828805,29384.592972140123,1925.0224209058658,1640.7368676096507,6342.965727338527,1038.5786960883377,56501.718939402,45423.13311491568,169387.7532016869,23368.01096575901,283499.822191628,204839.47193827084,794575.1996530157,82307.51240240585,186075.42057041664,135062.87846416765,514056.8405727832,54774.4013177505,20264.244136370744,17100.773471582615,64627.3577639501,10407.685498150231,13221.185669928982,11228.206817530943,42873.840685882395,6988.830669957992,30849.551343129457,25552.069226914035,95418.64021941766,14523.904950605323
2049,63395.71816107027,51401.24112889969,191138.0650318469,27162.207449855887,27616.16963496939,22997.457042552156,85867.64957515632,13318.568671651157,78075.63808848683,61585.87862692734,227740.24168280128,30064.946794264717,1973.7256754230689,1684.532765403004,6526.539753757468,1069.9428498545271,57406.28756437963,46229.544452872804,172519.79701551708,23906.83988566861,287639.58384060196,208240.5774433636,808065.7028230922,84236.5535847647,188793.06418479802,137304.58947094134,522850.68288259424,56056.02624821731,20656.736288297136,17457.309294372604,66021.93124435245,10669.076495472425,13509.036975466628,11489.372038822728,43915.52632402976,7179.705409816078,31366.80033033266,26021.29265740126,97081.98648948628,14858.413962663484
2050,64401.623030351715,52302.99341747058,194367.83028262435,27773.724363022335,28076.454164447026,23416.03496785804,87347.47849481176,13620.083341724887,79263.70221688636,62634.0547476429,231631.01424731448,30745.300616389315,2022.4289299402717,1728.3286631963574,6710.11378017641,1101.3070036207164,58310.856189357255,47035.955790829925,175651.84082934726,24445.66880557821,291779.34548957594,211641.6829484564,821556.2059931688,86165.59476712355,191510.7077991794,139546.30047771506,531644.5251924052,57337.65117868413,21049.228440223527,17813.845117162593,67416.5047247548,10930.467492794622,13796.888281004272,11750.537260114514,44957.21196217712,7370.580149674164,31884.049317535864,26490.516087888485,98745.3327595549,15192.922974721643
2051,65066.9695820205,52927.792494279514,196414.16869950635,28246.394428678388,28189.283909318357,23535.139643411123,87188.49307095812,13731.787539613695,80219.25787577954,63505.87063308775,234500.25483767607,31374.321585335256,1988.9493990220979,1700.5844015059909,6502.723638816568,1085.7975239116984,58958.222596315856,47637.05521640766,177433.12250760698,24892.10623092655,295763.32216830464,214962.27357366894,834662.6350450546,88226.76996474134,194100.92450846892,141715.44838092703,539778.1577793027,58697.218709777844,20929.486082108455,17724.54549318731,66292.23027624196,10901.10043947885,13628.17043305749,11614.41074012198,43817.28766406064,7302.274082796155,32064.420160032852,26671.078184873837,98800.90160574435,15347.89976548893
